name,split,feature_path,true_count,pred_count,abs_error,events_found,frames_total,frames_valid,mean_conf
test2340.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/test2340_squat_features.npy,4.0,2.0,2.0,2,300,288,0.9066178202629089
stu4_66.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu4_66_squat_features.npy,27.0,7.0,20.0,7,1125,1021,0.8585705161094666
stu9_63.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu9_63_squat_features.npy,20.0,20.0,0.0,20,1350,1331,0.9751018285751343
stu1_68.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu1_68_squat_features.npy,20.0,1.0,19.0,1,936,936,0.9945676326751709
stu6_62.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu6_62_squat_features.npy,20.0,1.0,19.0,1,749,748,0.9866897463798523
stu8_64.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu8_64_squat_features.npy,3.0,0.0,3.0,0,250,245,0.8598777055740356
stu7_67.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu7_67_squat_features.npy,29.0,11.0,18.0,11,1601,1601,0.9938136339187622
stu3_65.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu3_65_squat_features.npy,6.0,6.0,0.0,6,1109,1109,0.9955788254737854
stu10_64.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu10_64_squat_features.npy,2.0,2.0,0.0,2,390,390,0.9836870431900024
stu3_61.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu3_61_squat_features.npy,19.0,19.0,0.0,19,1349,1349,0.9582310318946838
stu8_63.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu8_63_squat_features.npy,26.0,26.0,0.0,26,1800,1800,0.9878130555152893
stu3_62.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu3_62_squat_features.npy,13.0,13.0,0.0,13,1078,1078,0.9843152165412903
stu8_69.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu8_69_squat_features.npy,19.0,18.0,1.0,18,1229,1229,0.9911366701126099
stu7_63.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu7_63_squat_features.npy,12.0,12.0,0.0,12,1558,1558,0.9924162030220032
stu7_64.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu7_64_squat_features.npy,11.0,8.0,3.0,8,1032,1031,0.9840620160102844
train3948.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/train3948_squat_features.npy,2.0,1.0,1.0,1,204,204,0.8881306648254395
stu4_61.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu4_61_squat_features.npy,10.0,10.0,0.0,10,1620,1620,0.994648814201355
stu8_59.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu8_59_squat_features.npy,10.0,10.0,0.0,10,1200,1200,0.995541512966156
stu6_58.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu6_58_squat_features.npy,5.0,1.0,4.0,1,375,322,0.7006937861442566
stu10_65.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu10_65_squat_features.npy,4.0,4.0,0.0,4,672,639,0.9117394685745239
stu1_72.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu1_72_squat_features.npy,21.0,20.0,1.0,20,1439,1412,0.9150940179824829
stu6_70.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu6_70_squat_features.npy,26.0,26.0,0.0,26,1199,1199,0.978229820728302
stu5_70.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu5_70_squat_features.npy,6.0,5.0,1.0,5,900,893,0.9508886933326721
stu3_64.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu3_64_squat_features.npy,19.0,14.0,5.0,14,1615,1548,0.9387937188148499
stu5_66.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu5_66_squat_features.npy,12.0,5.0,7.0,5,990,989,0.8335889577865601
val1235.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/val1235_squat_features.npy,2.0,2.0,0.0,2,300,300,0.9764803051948547
train3959.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/train3959_squat_features.npy,2.0,1.0,1.0,1,300,296,0.8879125118255615
stu3_59.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu3_59_squat_features.npy,1.0,0.0,1.0,0,180,180,0.8602164387702942
stu6_67.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu6_67_squat_features.npy,20.0,19.0,1.0,19,1275,1275,0.9934595227241516
test2319.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/test2319_squat_features.npy,7.0,0.0,7.0,0,232,140,0.4054262936115265
stu4_62.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu4_62_squat_features.npy,14.0,14.0,0.0,14,1619,1619,0.9844884872436523
stu2_72.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu2_72_squat_features.npy,12.0,12.0,0.0,12,779,779,0.9945411682128906
train3944.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/train3944_squat_features.npy,2.0,2.0,0.0,2,298,258,0.7274267673492432
stu2_69.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu2_69_squat_features.npy,21.0,22.0,1.0,22,1950,1950,0.9893981218338013
val1250.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/val1250_squat_features.npy,4.0,4.0,0.0,4,300,300,0.9967759251594543
stu5_64.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu5_64_squat_features.npy,20.0,3.0,17.0,3,689,679,0.9688611030578613
stu1_71.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu1_71_squat_features.npy,4.0,1.0,3.0,1,884,861,0.8208053112030029
stu6_59.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu6_59_squat_features.npy,10.0,3.0,7.0,3,480,480,0.9920650720596313
stu9_69.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu9_69_squat_features.npy,21.0,21.0,0.0,21,2550,2550,0.9948450922966003
stu10_71.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu10_71_squat_features.npy,4.0,4.0,0.0,4,432,423,0.893657386302948
val1256.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/val1256_squat_features.npy,2.0,3.0,1.0,3,300,299,0.9273841381072998
test2326.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/test2326_squat_features.npy,2.0,0.0,2.0,0,300,300,0.9966111183166504
stu3_72.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu3_72_squat_features.npy,1.0,1.0,0.0,1,300,300,0.9779573678970337
stu8_68.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu8_68_squat_features.npy,3.0,0.0,3.0,0,275,275,0.9776648879051208
stu2_70.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu2_70_squat_features.npy,13.0,16.0,3.0,16,1499,1499,0.9786228537559509
stu4_67.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu4_67_squat_features.npy,9.0,9.0,0.0,9,1289,1289,0.9965344071388245
stu1_69.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu1_69_squat_features.npy,9.0,4.0,5.0,4,575,575,0.9926547408103943
stu3_71.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu3_71_squat_features.npy,2.0,2.0,0.0,2,330,330,0.9866666793823242
stu8_66.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu8_66_squat_features.npy,5.0,0.0,5.0,0,719,717,0.9848009943962097
stu7_69.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu7_69_squat_features.npy,20.0,20.0,0.0,20,1109,1109,0.9728015661239624
train3951.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/train3951_squat_features.npy,4.0,0.0,4.0,0,300,300,0.9975805878639221
stu9_70.mp4,train,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/squat_features/stu9_70_squat_features.npy,4.0,0.0,4.0,0,384,384,0.976220428943634
