stage,architecture_family,representation,temporal_formulation,exercise,run_name,mae,rmse,within_1,reference_context,verdict,source
frozen_squat_fsm,FSM,engineered_squat_pose,state_machine,squat,tuned_fsm_baseline,3.0625,4.9180788932265,0.5625,squat_only_control,historical_baseline,artifacts/3_Modeling/frozen_best_squat_result.json
frozen_squat_tcn,dedicated_pose_tcn,engineered_squat_pose,scalar_regression_tcn,squat,squat_tcn_l1_channels96,2.140498,3.10163,0.5625,squat_only_control,best_current_squat,artifacts/3_Modeling/frozen_best_squat_result.json
6B,shared_pose_tcn,normalized_pose_sequence,scalar_regression_tcn,squat,pose_count_tcn_squat_seq256,8.04295,11.189588,0.25,shared_pose_baseline,shared_pose_reference,chat_summarized_results
6B,shared_pose_tcn,normalized_pose_sequence,scalar_regression_tcn,pull_up,pose_count_tcn_pull_up_seq192,4.608825,7.016896,0.428571,shared_pose_baseline,shared_pose_reference,chat_summarized_results
6B,shared_pose_tcn,normalized_pose_sequence,scalar_regression_tcn,push_up,pose_count_tcn_push_up_seq128,8.872403,11.279776,0.0,shared_pose_baseline,shared_pose_reference,chat_summarized_results
6C,keypoint_weighted_pose_tcn,normalized_pose_sequence_plus_manual_weighting,scalar_regression_tcn,bench_pressing,weighted_pose_bench_pressing,5.59,,0.154,6B_benchmark,negative_result,chat_summarized_results
6C,keypoint_weighted_pose_tcn,normalized_pose_sequence_plus_manual_weighting,scalar_regression_tcn,pommelhorse,weighted_pose_pommelhorse,5.89,,0.133,6B_benchmark,negative_or_mixed_result,chat_summarized_results
6C,keypoint_weighted_pose_tcn,normalized_pose_sequence_plus_manual_weighting,scalar_regression_tcn,pull_up,weighted_pose_pull_up,5.39,,0.286,6B_benchmark,negative_result,chat_summarized_results
6C,keypoint_weighted_pose_tcn,normalized_pose_sequence_plus_manual_weighting,scalar_regression_tcn,push_up,weighted_pose_push_up,8.5139,,0.111111,6B_benchmark,small_isolated_gain,chat_summarized_results
6C,keypoint_weighted_pose_tcn,normalized_pose_sequence_plus_manual_weighting,scalar_regression_tcn,squat,weighted_pose_squat,9.38,,0.125,6B_benchmark,negative_result,chat_summarized_results
6D,density_pose_tcn,normalized_pose_sequence,weak_pseudo_density,squat,density_pose_squat,11.29,,0.0,6B_benchmark,negative_result,chat_summarized_results
6D,density_pose_tcn,normalized_pose_sequence,weak_pseudo_density,pull_up,density_pose_pull_up,5.94,,0.071,6B_benchmark,negative_result,chat_summarized_results
6D,density_pose_tcn,normalized_pose_sequence,weak_pseudo_density,push_up,density_pose_push_up,8.61,,0.0,6B_benchmark,negative_result,chat_summarized_results
6D,density_pose_tcn,normalized_pose_sequence,weak_pseudo_density,bench_pressing,density_pose_bench_pressing,5.63,,0.154,6B_benchmark,negative_result,chat_summarized_results
6D,density_pose_tcn,normalized_pose_sequence,weak_pseudo_density,pommelhorse,density_pose_pommelhorse,5.48,,0.067,6B_benchmark,negative_or_neutral_result,chat_summarized_results
7_RGB,rgb_tcn_stage7,frozen_resnet18_rgb_features,scalar_regression_tcn,squat,rgb_count_tcn_squat_seq256,6.544613,8.276453,0.0625,compare_to_shared_pose_and_best_squat,mixed_but_far_below_best_squat,artifacts/3_Modeling/7_RGB_Counting_Baseline_Colab.ipynb
7_RGB,rgb_tcn_stage7,frozen_resnet18_rgb_features,scalar_regression_tcn,pull_up,rgb_count_tcn_pull_up_seq192,4.86861,,0.142857,compare_to_pose_6B,weaker_than_pose,artifacts/3_Modeling/7_RGB_Counting_Baseline_Colab.ipynb
7_RGB,rgb_tcn_stage7,frozen_resnet18_rgb_features,scalar_regression_tcn,push_up,rgb_count_tcn_push_up_seq128,6.601824,10.286459,0.277778,compare_to_pose_6B,best_current_push_up_branch,artifacts/3_Modeling/7_RGB_Counting_Baseline_Colab.ipynb
7B,stronger_rgb_tcn,frozen_resnet50_rgb_features,scalar_regression_tcn,squat,rgb_resnet50_count_tcn_squat_seq256,5.424476,6.871133,0.1875,compare_to_stage7_rgb_and_best_squat,best_generic_non_squat_specific_variant,artifacts/3_Modeling/7B_Stronger_RGB_Backbone_Colab.ipynb
7B,stronger_rgb_tcn,frozen_resnet50_rgb_features,scalar_regression_tcn,pull_up,rgb_resnet50_count_tcn_pull_up_seq192,4.199187,5.893085,0.357143,compare_to_pose_6B_and_stage7_rgb,best_rgb_pull_up_variant,artifacts/3_Modeling/7B_Stronger_RGB_Backbone_Colab.ipynb
7B,stronger_rgb_tcn,frozen_resnet50_rgb_features,scalar_regression_tcn,push_up,rgb_resnet50_count_tcn_push_up_seq128,7.376788,,0.055556,compare_to_stage7_rgb,worse_than_stage7_rgb,artifacts/3_Modeling/7B_Stronger_RGB_Backbone_Colab.ipynb
7E,multimodal_late_fusion,generic_pose_plus_rgb,late_fusion_tcn,squat,multimodal_pose_rgb_squat_seq256,6.698832,8.276453,0.0,compare_to_pose_and_rgb,negative_result,artifacts/3_Modeling/7E_Multimodal_Pose_RGB_Fusion_Colab.ipynb
7E,multimodal_late_fusion,generic_pose_plus_rgb,late_fusion_tcn,pull_up,multimodal_pose_rgb_pull_up_seq192,4.119348,5.218169,0.142857,compare_to_pose_and_rgb,mae_gain_but_within1_loss,artifacts/3_Modeling/7E_Multimodal_Pose_RGB_Fusion_Colab.ipynb
7E,multimodal_late_fusion,generic_pose_plus_rgb,late_fusion_tcn,push_up,multimodal_pose_rgb_push_up_seq128,6.169095,9.899266,0.111111,compare_to_pose_and_rgb,mae_gain_but_not_best_practical_result,artifacts/3_Modeling/7E_Multimodal_Pose_RGB_Fusion_Colab.ipynb
8_route,exercise_dependent_route,mixed_pose_and_rgb,routed_existing_runs,squat,squat_tcn_l1_channels96,2.140498,3.10163,0.5625,planned_practical_route,selected_for_stage8_route,artifacts/3_Modeling/8_Exercise_Dependent_Counting_Colab.ipynb
8_route,exercise_dependent_route,mixed_pose_and_rgb,routed_existing_runs,pull_up,pose_count_tcn_pull_up_seq192,4.608825,7.016896,0.428571,planned_practical_route,selected_for_stage8_route,artifacts/3_Modeling/8_Exercise_Dependent_Counting_Colab.ipynb
8_route,exercise_dependent_route,mixed_pose_and_rgb,routed_existing_runs,push_up,rgb_count_tcn_push_up_seq128,6.601824,10.286459,0.277778,planned_practical_route,selected_for_stage8_route,artifacts/3_Modeling/8_Exercise_Dependent_Counting_Colab.ipynb
