name,split,video_folder,relative_video_path,rep_count,status,frames_total,frames_valid,valid_ratio,mean_conf,width,height,duration_sec,fps,orientation,issue_tags,severity,video_path,contact_sheet
train3898.mp4,valid,valid,valid/train3898.mp4,2,ok,70,0,0.000000,0.097414,204,360,10.000,30.000,portrait,"short_clip,portrait_framing,no_valid_lower_body_frames,extreme_pose_confidence_failure,likely_framing_or_occlusion_issue",critical,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/Data/LLSP/video/valid/train3898.mp4,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/artifacts/3_Modeling/squat_video_audit/contact_sheets/train3898_contact.jpg
test2319.mp4,train,train,train/test2319.mp4,7.0,ok,221,26,0.117647,0.386415,640,360,10.010,23.976,landscape,"severe_lower_body_visibility_loss,very_low_pose_confidence,likely_framing_or_occlusion_issue",high,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/Data/LLSP/video/train/test2319.mp4,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/artifacts/3_Modeling/squat_video_audit/contact_sheets/test2319_contact.jpg
stu6_58.mp4,train,train,train/stu6_58.mp4,5.0,ok,375,279,0.744000,0.431191,1280,720,15.002,25.000,landscape,"partial_lower_body_visibility,low_pose_confidence",medium,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/Data/LLSP/video/train/stu6_58.mp4,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/artifacts/3_Modeling/squat_video_audit/contact_sheets/stu6_58_contact.jpg
stu8_64.mp4,train,train,train/stu8_64.mp4,3.0,ok,250,245,0.980000,0.434994,1280,720,10.011,25.000,landscape,"low_pose_confidence,confidence_noise_but_geometry_available",medium,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/Data/LLSP/video/train/stu8_64.mp4,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/artifacts/3_Modeling/squat_video_audit/contact_sheets/stu8_64_contact.jpg
stu6_11.mp4,train,train,train/stu6_11.mp4,22.0,ok,1137,649,0.570800,0.575374,640,360,40.007,29.970,landscape,"partial_lower_body_visibility,moderate_pose_confidence",medium,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/Data/LLSP/video/train/stu6_11.mp4,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/artifacts/3_Modeling/squat_video_audit/contact_sheets/stu6_11_contact.jpg
test2340.mp4,train,train,train/test2340.mp4,4.0,ok,300,258,0.860000,0.624924,640,360,10.010,29.970,landscape,"moderate_lower_body_coverage_loss,moderate_pose_confidence",medium,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/Data/LLSP/video/train/test2340.mp4,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/artifacts/3_Modeling/squat_video_audit/contact_sheets/test2340_contact.jpg
stu6_69.mp4,train,train,train/stu6_69.mp4,15.0,ok,1618,1233,0.762052,0.684465,640,360,53.987,29.970,landscape,"moderate_lower_body_coverage_loss,moderate_pose_confidence",medium,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/Data/LLSP/video/train/stu6_69.mp4,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/artifacts/3_Modeling/squat_video_audit/contact_sheets/stu6_69_contact.jpg
stu5_66.mp4,train,train,train/stu5_66.mp4,12.0,ok,990,842,0.850505,0.715752,1280,720,33.033,29.970,landscape,moderate_lower_body_coverage_loss,medium,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/Data/LLSP/video/train/stu5_66.mp4,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/artifacts/3_Modeling/squat_video_audit/contact_sheets/stu5_66_contact.jpg
stu4_66.mp4,train,train,train/stu4_66.mp4,27.0,ok,1125,866,0.769778,0.794517,640,360,45.000,25.000,landscape,moderate_lower_body_coverage_loss,medium,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/Data/LLSP/video/train/stu4_66.mp4,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/artifacts/3_Modeling/squat_video_audit/contact_sheets/stu4_66_contact.jpg
stu7_65.mp4,valid,valid,valid/stu7_65.mp4,9,ok,711,493,0.693390,0.822866,640,360,30.030,23.976,landscape,"partial_lower_body_visibility,likely_pose_contract_mismatch",medium,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/Data/LLSP/video/valid/stu7_65.mp4,/Users/lindaperez/Documents/COMPUTER_VISION/Final_project/personal-git/CV_Image_pose_detection/artifacts/3_Modeling/squat_video_audit/contact_sheets/stu7_65_contact.jpg
